Id|Brent oil price|East Asia LNG price|Europe Continental gas price|Henry Hub Gas price Forward Case|Henry Hub Gas price High Case|Henry Hub Gas price Low Case|Henry Hub Gas price Mid Case|UK gas price|Henry Hub gas price|Brent Oil price Forward Case|Brent Oil price High Case|Brent Oil price Low Case|Brent Oil price Mid Case|WTI Cushing oil price|Year|Brent Oil price Low Low Case|Brent Oil price Mid Low Case|Brent Oil price Low Low Low Case|Brent Oil price Mid Low Low Case|Brent Oil price Mid Mid Low Case|Brent Oil price Mid Mid Low Low Case|Henry Hub Gas price Low Low Low Case|Henry Hub Gas price Mid Low Low Case|Henry Hub Gas price Mid Mid Low Case|Henry Hub Gas price Mid Mid Low Low Case
51|1.710000038|0.1000000015|0.1700000018|0.1700000018|0.1700000018|0.1700000018|0.1700000018|0.1700000018|0.1700000018|1.710000038|1.710000038|1.710000038|1.710000038|2.569999933|1950|1.710000038|1.710000038|1.7100000381469727|1.7100000381469727|1.7100000381469727|1.7100000381469727|0.17000000178813934|0.17000000178813934|0.17000000178813934|0.17000000178813934
54|1.929999948|0.1000000015|0.1800000072|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1800000072|0.1899999976|1.929999948|1.929999948|1.929999948|1.929999948|2.720000029|1953|1.929999948|1.929999948|1.9299999475479126|1.9299999475479126|1.9299999475479126|1.9299999475479126|0.18999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421
60|2.079999924|0.1400000006|0.2099999934|0.2099999934|0.2099999934|0.2099999934|0.2099999934|0.2099999934|0.2099999934|2.079999924|2.079999924|2.079999924|2.079999924|2.980000019|1959|2.079999924|2.079999924|2.0799999237060547|2.0799999237060547|2.0799999237060547|2.0799999237060547|0.20999999344348907|0.20999999344348907|0.20999999344348907|0.20999999344348907
65|1.799999952|0.1299999952|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1800000072|1.799999952|1.799999952|1.799999952|1.799999952|2.950000048|1964|1.799999952|1.799999952|1.7999999523162842|1.7999999523162842|1.7999999523162842|1.7999999523162842|0.18000000715255737|0.18000000715255737|0.18000000715255737|0.18000000715255737
68|1.799999952|0.1299999952|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.75|0.1800000072|1.799999952|1.799999952|1.799999952|1.799999952|3.029999971|1967|1.799999952|1.799999952|1.7999999523162842|1.7999999523162842|1.7999999523162842|1.7999999523162842|0.18000000715255737|0.18000000715255737|0.18000000715255737|0.18000000715255737
82|34.279998779|2.5|3.289999962|3.430000067|3.430000067|3.430000067|3.430000067|3.619999886|3.430000067|34.279998779|34.279998779|34.279998779|34.279998779|36.669998169|1981|34.279998779|34.279998779|34.279998779296875|34.279998779296875|34.279998779296875|34.279998779296875|3.4300000667572021|3.4300000667572021|3.4300000667572021|3.4300000667572021
98|19.11000061|1.279999971|1.879999995|2.579999924|2.579999924|2.579999924|2.579999924|2.039999962|2.579999924|19.11000061|19.11000061|19.11000061|19.11000061|20.61000061|1997|19.11000061|19.11000061|19.110000610351563|19.110000610351563|19.110000610351563|19.110000610351563|2.5799999237060547|2.5799999237060547|2.5799999237060547|2.5799999237060547
110|61.61000061|7.210000038|10.569999695|4.090000153|4.090000153|4.090000153|4.090000153|4.78000021|4.090000153|61.61000061|61.61000061|61.61000061|61.61000061|61.950000763|2009|61.61000061|61.61000061|61.610000610351563|61.610000610351563|61.610000610351563|61.610000610351563|4.0900001525878906|4.0900001525878906|4.0900001525878906|4.0900001525878906
50|1.779999971|0.1000000015|0.1899999976|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1899999976|0.1800000072|1.779999971|1.779999971|1.779999971|1.779999971|2.569999933|1949|1.779999971|1.779999971|1.7799999713897705|1.7799999713897705|1.7799999713897705|1.7799999713897705|0.18000000715255737|0.18000000715255737|0.18000000715255737|0.18000000715255737
114|108.529998779|17.270000458|11.079999924|3.869999886|3.869999886|3.869999886|3.869999886|10.81000042|3.869999886|108.529998779|108.529998779|108.529998779|108.529998779|97.970001221|2013|108.529998779|108.529998779|108.52999877929688|108.52999877929688|108.52999877929688|108.52999877929688|3.869999885559082|3.869999885559082|3.869999885559082|3.869999885559082
