Id|FK_OilAndGas|FK_Asset|FK_OtherParameter|FK_LifeCycleTS|FK_LifeCycle|FK_Company|FK_HistoricCompany|FK_Reserves|FK_OilAndGasType|1P Reserves|2P Reserves|Original Resources|Remaining Resources|1P Reserves Forward Case|1P Reserves High Case|1P Reserves Low Case|1P Reserves Mid Case|1P Reserves  Low Low Case|1P Reserves Mid Low Case|1P Reserves Low Low Low Case|1P Reserves Mid Low Low Case|1P Reserves Mid Mid Low Case|1P Reserves Mid Mid Low Low Case|2P Reserves Forward Case|2P Reserves High Case|2P Reserves Low Case|2P Reserves Mid Case|2P Reserves  Low Low Case|2P Reserves Mid Low Case|2P Reserves Low Low Low Case|2P Reserves Mid Low Low Case|2P Reserves Mid Mid Low Case|2P Reserves Mid Mid Low Low Case|Original Resources Forward Case|Original Resources High Case|Original Resources Low Case|Original Resources Mid Case|Original Resources  Low Low Case|Original Resources Mid Low Case|Original Resources Low Low Low Case|Original Resources Mid Low Low Case|Original Resources Mid Mid Low Case|Original Resources Mid Mid Low Low Case|Remaining Resources Forward Case|Remaining Resources High Case|Remaining Resources Low Case|Remaining Resources Mid Case|Remaining Resources  Low Low Case|Remaining Resources Mid Low Case|Remaining Resources Low Low Low Case|Remaining Resources Mid Low Low Case|Remaining Resources Mid Mid Low Case|Remaining Resources Mid Mid Low Low Case
845680|2|113026|111|3|3|1084|1084|2|10|0|0|0|-0.02160000056|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-2.1600000560283661E-2|0|-2.1600000560283661E-2|0|-2.1600000560283661E-2|-2.1600000560283661E-2|-2.1600000560283661E-2|-2.1600000560283661E-2|0|-2.1600000560283661E-2
928931|4|122542|75|25|31|685|685|5|11|0|0|0.3770000041|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.3880000114440918|0|0.37099999189376831|0|0.37099999189376831|0.39300000667572021|0|0|0|0|0|0|0|0|0|0|0|0|0|0
901722|12|119380|111|25|3|11168|11168|5|6|0|0|-9.859999657|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-9.5200004577636719|0|-9.3199996948242188|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928914|4|122542|39|25|31|17824|17824|5|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928921|4|122542|39|31|31|685|685|2|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.18400000035762787|0
845655|2|113026|39|3|3|1084|1084|3|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.40999999642372131|0
845673|2|113026|75|3|3|11168|11168|3|10|0|0|0|2.049999952|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0499999523162842|0|2.0499999523162842|0|2.0499999523162842|2.0499999523162842|2.0499999523162842|2.0499999523162842|0|2.0499999523162842
845686|2|113026|111|3|3|2770|2770|3|10|0|0|0|-0.4099999964|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.40999999642372131|0|-0.40999999642372131|0|-0.40999999642372131|-0.40999999642372131|-0.40999999642372131|-0.40999999642372131|0|-0.40999999642372131
845737|4|113026|75|3|3|8924|8924|1|11|0|0|0|0.8590000272|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.85900002717971802|0|0.79799997806549072|0|0.76499998569488525|0.85900002717971802|0.76499998569488525|0.84299999475479126|0|0.85799998044967651
845750|4|113026|75|25|3|1084|1084|5|11|0|0|1.590000033|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.5900000333786011|0|1.4800000190734863|0|1.4199999570846558|1.5900000333786011|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928917|4|122542|39|31|31|2770|2770|1|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.0000002374872565E-4|0
928940|4|122542|75|31|31|12830|12830|1|11|0|0|0|0.1480000019|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.15199999511241913|0|0.14599999785423279|0|0.14599999785423279|0.15399999916553497|0.14599999785423279|0.14599999785423279|0|0.15000000596046448
928944|4|122542|75|31|31|2770|2770|2|11|0|0|0|0.001300000004|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.3000000035390258E-3|0|1.2000000569969416E-3|0|1.2000000569969416E-3|1.3000000035390258E-3|1.2000000569969416E-3|1.2000000569969416E-3|0|1.3000000035390258E-3
928981|12|122542|3|25|31|17835|17835|5|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.3799999952316284|0|1.3799999952316284|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
929034|12|122542|111|31|31|2770|2770|2|8|0|0|0|-0.0006000000285|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-6.0000002849847078E-4|0|-6.0000002849847078E-4|0|-6.0000002849847078E-4|-6.0000002849847078E-4|-6.0000002849847078E-4|-6.0000002849847078E-4|0|-6.0000002849847078E-4
928932|4|122542|75|25|31|2770|2770|5|11|0|0|0.00270000007|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00279999990016222|0|2.7000000700354576E-3|0|2.7000000700354576E-3|0.00279999990016222|0|0|0|0|0|0|0|0|0|0|0|0|0|0
928922|4|122542|39|31|31|2770|2770|2|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.3000000035390258E-3|0
845701|4|113026|3|3|3|2770|2770|2|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.73600000143051147|0|0.73600000143051147|0|0|0|0|0|0
