Id|FK_Asset|Year|FK_Company|FK_OilAndGas|FK_DataQuality|FK_OtherParameter|FK_HistoricCompany|FK_LifeCycleTS|FK_LifeCycle|FK_OilAndGasType|Production|Production Forward Case|Production High Case|Production Low Case|Production Mid Case|Production Low Low Case|Production Mid Low Case|Production Low Low Low Case|Production Mid Low Low Case|Production Mid Mid Low Case|Production Mid Mid Low Low Case
15719198|194793|2046|168|9|29|12|168|17|24|20|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
15806464|279421|2046|10|12|29|84|10|14|8|8|0.2529999912|0.2529999912|\\N|0|\\N|0|0.2529999912|0|0.25299999117851257|\\N|0.25299999117851257
15780326|237729|2046|685|9|29|144|685|14|9|19|-0.00689999992|-0.00689999992|\\N|-0.00689999992|\\N|-0.00689999992|-0.00689999992|0|-6.8999999202787876E-3|\\N|-6.8999999202787876E-3
15780341|237729|2046|12830|9|29|108|12830|14|9|20|0.01070000045|0.01070000045|\\N|0.01070000045|\\N|0.01070000045|0.01070000045|0|1.0700000450015068E-2|\\N|1.0700000450015068E-2
15277191|244622|2045|168|4|29|12|168|14|23|11|0.04089999944|0.04089999944|0.04089999944|0.04089999944|0.04089999944|0.04089999944|0.04089999944|0|4.0899999439716339E-2|4.0899999439716339E-2|4.0899999439716339E-2
15274546|238910|2045|685|9|29|12|685|17|24|19|0|0|0|0|0|0|0|0|0|0|0
15781723|238910|2046|1084|4|29|12|1084|17|24|11|0.003599999938|0.003599999938|0.003599999938|0.003599999938|0.003599999938|0.003599999938|0.003599999938|3.599999938160181E-3|3.599999938160181E-3|3.599999938160181E-3|3.599999938160181E-3
15781732|238910|2046|2770|9|29|12|2770|17|24|18|0|0|0|0|0|0|0|0|0|0|0
15781737|238910|2046|8924|4|29|12|8924|17|24|11|0.01090000011|0.01090000011|0.01090000011|0.01090000011|0.01090000011|0.01090000011|0.01090000011|1.0900000110268593E-2|1.0900000110268593E-2|1.0900000110268593E-2|1.0900000110268593E-2
15781748|238910|2046|11168|9|29|12|11168|17|24|20|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
15781750|238914|2046|685|2|29|12|685|17|24|10|0.002400000114|0.002400000114|0.002400000114|0.002400000114|0.002400000114|0.002400000114|0.002400000114|2.4000001139938831E-3|2.4000001139938831E-3|2.4000001139938831E-3|2.4000001139938831E-3
15781761|238914|2046|18247|9|29|12|18247|17|24|19|0.0003000000142|0.0003000000142|0.0003000000142|0.0003000000142|0.0003000000142|0.0003000000142|0.0003000000142|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4
15667401|113026|2046|2770|4|29|48|2770|14|3|11|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|2.4800000712275505E-2|\\N
15667405|113026|2046|8924|4|29|48|8924|14|3|11|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|7.4400000274181366E-2|\\N
16129757|105466|2047|685|9|29|12|685|15|24|18|0|0|0|0|0|0|0|0|0|0|0
16129770|105466|2047|17835|9|29|12|17835|15|24|17|0|0|0|0|0|0|0|0|0|0|0
15686274|122542|2046|12830|4|29|48|12830|2|31|11|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|9.100000374019146E-3|\\N
15686282|122542|2046|17824|4|29|48|17824|2|31|11|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|6.2000001780688763E-3|\\N
15619208|97385|2046|16|2|29|84|16|14|9|10|0.01269999985|\\N|\\N|0.01269999985|\\N|0.01269999985|0.01269999985|0|0.01269999984651804|\\N|0.01269999984651804
15619209|97385|2046|16|2|29|120|16|14|9|10|-0.01269999985|\\N|\\N|-0.01269999985|\\N|-0.01269999985|-0.01269999985|0|-0.01269999984651804|\\N|-0.01269999984651804
15203258|192071|2045|18340|4|29|48|18340|14|31|11|\\N|\\N|0.03409999982|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
15781706|238908|2046|685|9|29|12|685|14|24|20|0|0|0|0|0|0|0|0|0|0|0
15781742|238910|2046|8924|12|29|12|8924|17|24|8|0.01740000024|0.01740000024|0.01740000024|0.01740000024|0.01740000024|0.01740000024|0.01740000024|1.7400000244379044E-2|1.7400000244379044E-2|1.7400000244379044E-2|1.7400000244379044E-2
15686286|122542|2046|17824|12|29|48|17824|2|31|8|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|2.8100000694394112E-2|\\N
6283790|32565|2024|168|4|2|12|168|14|14|11|0.05539999902|0.05539999902|0.05539999902|0.05539999902|0.05539999902|0.05539999902|0.05539999902|5.5399999022483826E-2|5.5399999022483826E-2|5.5399999022483826E-2|5.5399999022483826E-2
10441294|32582|2036|685|9|29|84|685|14|8|19|\\N|\\N|\\N|0.001799999969|\\N|0.001799999969|\\N|1.7999999690800905E-3|1.7999999690800905E-3|\\N|\\N
